U,SigmaH,Sigma0,Sigma1
1.0,-2.5056334840289907e-8,-3.3306690738754696e-16,2.457088192457657e-8
2.0,5.3071999683851345e-8,-1.3100631690576847e-14,-1.799406951737685e-7
2.4,1.3135741339098672e-7,4.6629367034256575e-15,-6.709762614478268e-7
4.0,-2.0286885726861215e-8,-1.2878587085651816e-14,6.462336821916326e-8
