omega_lin,omega_log,U1.0_lor,U1.0_gau,U1.0_log,U2.0_lor,U2.0_gau,U2.0_log,U2.4_lor,U2.4_gau,U2.4_log,U4.0_lor,U4.0_gau,U4.0_log
-4.0,-4.0,0.001022002692468889,9.363435195115792e-5,0.0116693588882592,0.007908224249803647,0.004287642690368956,0.034982895848003286,0.01134370581490072,0.006868283737957814,0.04361493093225601,0.014881965681746765,0.0023639008677765563,0.1196924520558259
-3.99,-3.895166320089746,0.0010346215603031842,0.0001002618360126761,0.013100228303373372,0.00752160065003615,0.0040241312811341,0.03880481778707007,0.011479819758556184,0.0070323987670262095,0.04831537578717757,0.014780952983701455,0.002257248638768708,0.13062963074303896
-3.98,-3.793080165290373,0.0010524020113102947,0.00011030578102607515,0.014671676472347173,0.007228341303443037,0.003776101533757874,0.0429667523982384,0.011990624024051308,0.007658697794390791,0.05342304493750438,0.014595445173022583,0.0020555643974744845,0.14215973584622554
-3.97,-3.693669527309877,0.0010748681826193048,0.00012188939298028251,0.01639278348759254,0.007103885509531289,0.003650439010680049,0.047489378340783234,0.012886408642393897,0.008627546453979956,0.05895948495769515,0.014428701372742443,0.0018042502589268477,0.15426746941675404
-3.96,-3.596864285079811,0.0010995283278389628,0.0001324794640441043,0.018272613034817312,0.007168743999743136,0.003720262034173846,0.05239357467783403,0.014125555867848805,0.009716733509969258,0.0649456431179531,0.014326374255403906,0.0015528608154986691,0.1669316392725406
-3.95,-3.5025961552941407,0.0011206901137329214,0.00013978793379060495,0.020320123630918528,0.00743015226043959,0.004000733140770538,0.05770031806698727,0.015492852479667486,0.010661552707766617,0.07140163722190417,0.014296234206587387,0.001341341862599962,0.18012499313415264
-3.94,-3.4107986442443923,0.001132176467397951,0.00014265596925123558,0.02254407082727701,0.00789111570947971,0.00444196120508226,0.06343057817324921,0.01650302000117388,0.011230690746401787,0.07834652212142805,0.014333155036492072,0.0011905732773912388,0.1938141234454229
-3.93,-3.321407000917131,0.001133832778432847,0.00014158196548573671,0.02495290072486843,0.008525212371781183,0.004941934260693586,0.06960521356822459,0.016642908853893894,0.011296214950151562,0.08579805780701182,0.014427772755895999,0.0010998084132294507,0.2079594474946876
-3.92,-3.2343581713206753,0.0011319442568302732,0.00013866226940073803,0.027554635335016012,0.009216039931959229,0.005376575705826546,0.07624487050604171,0.015912892605700963,0.010875601771487492,0.0937724845427783,0.01456206635790204,0.0010509415669479178,0.2225152661979971
-3.91,-3.1495907540088384,0.0011328425182766774,0.00013692100257864322,0.030356750520158415,0.009717460746633563,0.005638456149003788,0.08336988700504985,0.014832790787617593,0.010131238900911789,0.10228431102136075,0.014699114369089808,0.0010172765938774508,0.23742990355969798
