omega_lin,omega_log,U1.0_lor,U1.0_gau,U1.0_log,U2.0_lor,U2.0_gau,U2.0_log,U2.4_lor,U2.4_gau,U2.4_log,U4.0_lor,U4.0_gau,U4.0_log
-4.0,-4.0,0.002793524151678863,6.381017524507058e-6,0.007941920892980493,0.003672050130347559,0.00034375571520776747,0.03393096274434989,0.004232407847650592,0.000612936491453509,0.05171452569340338,0.007033339240556418,0.0004015938167143686,0.1781034156086878
-3.99,-3.9563102593513424,0.002809773753354448,6.901674151561094e-6,0.008417901242009761,0.003664772953815769,0.00032517505032467225,0.03573466617772935,0.004271144743343495,0.0006344145309093941,0.05431292091629187,0.007078895454435733,0.00037958576698187086,0.18438043079081992
-3.98,-3.9130977170621715,0.0028265173117615525,7.653653008687144e-6,0.008918419907391128,0.003663239465430452,0.00030715843440393603,0.03761557745600859,0.004337560457154123,0.0006902565646531066,0.05701231494470334,0.007123844330545584,0.0003488954093044288,0.1907760320131576
-3.97,-3.8703571609643466,0.0028437255578747794,8.504443666940655e-6,0.009444475313645194,0.003674453101541179,0.0002981853815633623,0.03957584046575035,0.004435751264394834,0.0007709307296649037,0.05981488705613571,0.0071778601326482235,0.00031557571084271527,0.19728760763594272
-3.96,-3.8280834358192948,0.002861227389454598,9.278161721332016e-6,0.00999709001061208,0.003700900282879944,0.0003042435171886896,0.04161759096885725,0.004563947389208193,0.0008588379030859956,0.06272276629176285,0.007245012704211988,0.00028421038084441353,0.2039122962010784
-3.95,-3.786271442696203,0.002878626749505042,9.81828347651456e-6,0.010577310277162282,0.00374355024611097,0.00032682168709463404,0.043742952055537014,0.0047040845459596185,0.0009330228324100961,0.06573802520828578,0.007323967832842441,0.00025692208321911024,0.21064698540408638
-3.94,-3.7449161383569987,0.002895493554552591,1.004907472795118e-5,0.011186205656011137,0.0038028121186450153,0.0003622230410412785,0.04595402941672798,0.004814522578280927,0.000975298534742395,0.06886267352128929,0.007408932580544736,0.00023339155355663068,0.21748831167449467
-3.93,-3.7040125346480512,0.002911820845751941,1.0011974659593078e-5,0.011824868417749256,0.0038767419888268008,0.00040249116233676317,0.04825290644202445,0.004851742439420478,0.0009760165816612509,0.07209865165565048,0.007491955043415365,0.0002117305672073618,0.2244326603792403
-3.92,-3.6635556978985138,0.002928054246816901,9.860542178007533e-6,0.012494412952370896,0.003956234000284443,0.00043776486460808797,0.05064163915002097,0.004816543873771595,0.0009376016176165983,0.0754478242194552,0.0075683387489150255,0.00018973709409347402,0.23147616666166185
-3.91,-3.6235407483252393,0.002944643246780042,9.812123800110907e-6,0.013195975086768426,0.004021494920572529,0.00045940328227783445,0.05312225095887758,0.004753543873536771,0.0008745457755359143,0.07891197341875436,0.007639285604863132,0.00016598861762576623,0.23861471692654854
