U,G0,G1,G2,G3
1.0,4.218847493575595e-15,-2.5248812037664825e-8,-7.992090339525859e-8,4.261595872509516e-7
2.0,1.1102230246251565e-15,5.2956622011157695e-8,1.5378200046711754e-8,-4.3245988554097003e-8
2.4,-8.881784197001252e-16,3.8106870130921733e-7,5.230263111499767e-9,-5.887605777077365e-7
4.0,-4.551914400963142e-15,-4.304491950379852e-9,-7.629301634892727e-10,1.254634840464064e-8
