omega,Re_I,Im_I,Re_FL,Im_FL,Re_FR,Im_FR,Re_G,Im_G
-4.0,-1.4619165844229403,-0.004617496114554005,0.37380318897748593,0.0012909220736515858,0.37380318897748593,0.0012909220736515858,-0.351234236858361,-0.00043433846088807937
-3.99,-1.4688057863355408,-0.004415142219701971,0.3765484399334468,0.001237132534131289,0.3765484399334468,0.001237132534131289,-0.3528569843141179,-0.0004183936752006976
-3.98,-1.475928199837081,-0.0040259147604789205,0.37937225083378256,0.0011294949196776294,0.37937225083378256,0.0011294949196776294,-0.3545116063214358,-0.0003828986548757893
-3.97,-1.4833387528398438,-0.0035384820282179192,0.3822909932575657,0.0009923883738507677,0.3822909932575657,0.0009923883738507677,-0.3562043531311269,-0.0003355646893778047
-3.96,-1.4910415223211513,-0.0030500042508063404,0.38530697932076124,0.0008529706578310042,0.38530697932076124,0.0008529706578310042,-0.3579369683905493,-0.00028539068125816815
-3.95,-1.498995165696618,-0.0026390465297820914,0.388409755299789,0.0007336139668336235,0.388409755299789,0.0007336139668336235,-0.3597069233193878,-0.00024019139443537477
-3.94,-1.5071314329305225,-0.0023468090429693985,0.39158109450738093,0.00064655714978537,0.39158109450738093,0.00064655714978537,-0.3615088871434945,-0.0002047643331309294
-3.93,-1.5153794221935009,-0.0021719014884510604,0.39480167669448746,0.0005922822332451556,0.39480167669448746,0.0005922822332451556,-0.36333680655198375,-0.0001802147401609704
-3.92,-1.523687125927362,-0.0020786393524067377,0.3980570970614349,0.0005616568776573144,0.3980570970614349,0.0005616568776573144,-0.36518583865170806,-0.0001644828982794523
-3.91,-1.532033853482787,-0.0020143249408364956,0.4013413996270739,0.0005406097050737643,0.4013413996270739,0.0005406097050737643,-0.3670535521541186,-0.00015370141560620474
-3.9,-1.5404310525938136,-0.0019286898038408434,0.4046574239055289,0.0005154548867110714,0.4046574239055289,0.0005154548867110714,-0.3689401596872368,-0.00014379966648606557
-3.89,-1.5489132227547269,-0.0017890323232273078,0.40801441562279017,0.00047707619174128924,0.40801441562279017,0.00047707619174128924,-0.3708479085509136,-0.00013180344848827145
-3.88,-1.5575235794325617,-0.001587059517011745,0.4114241735822955,0.00042286535716036354,0.4114241735822955,0.00042286535716036354,-0.372780006735799,-0.00011649098555899275
-3.87,-1.566300044621089,-0.0013368962560819566,0.4148972548300372,0.0003562598475089431,0.4148972548300372,0.0003562598475089431,-0.37473953154018097,-9.835201934280654e-5
-3.86,-1.575265951277496,-0.0010668039406864845,0.41844043314684237,0.00028456479487305497,0.41844043314684237,0.00028456479487305497,-0.376728669088928,-7.904071348391632e-5
-3.85,-1.58442728632548,-0.000808757797244552,0.42205590898600287,0.00021617773268191312,0.42205590898600287,0.00021617773268191312,-0.37874843282926085,-6.063508274150895e-5
-3.84,-1.593775571866152,-0.0005897637809900429,0.4257420337895204,0.0001582602801815419,0.4257420337895204,0.0001582602801815419,-0.3807988034042237,-4.499411691886101e-5
-3.83,-1.603293737060369,-0.0004270957613353913,0.4294948434807826,0.00011544316254532445,0.4294948434807826,0.00011544316254532445,-0.38287910326885005,-3.33783253382255e-5
-3.82,-1.6129620996513871,-0.0003275159944470446,0.4333096349007541,8.958445739905466e-5,0.4333096349007541,8.958445739905466e-5,-0.38498840167087006,-2.634635689421877e-5
-3.81,-1.622762601676427,-0.0002890300061820836,0.437182093664293,8.019913930834633e-5,0.437182093664293,8.019913930834633e-5,-0.38712581766920956,-2.383248958095376e-5
-3.8,-1.6326809367933846,-0.0003033477488459659,0.4411088789898295,8.50798267988721e-5,0.4411088789898295,8.50798267988721e-5,-0.3892906930043307,-2.5282996859297412e-5
-3.79,-1.642707331030905,-0.0003578422325769148,0.44508786695716074,0.00010079612202887938,0.44508786695716074,0.00010079612202887938,-0.3914826835998253,-2.977275815904079e-5
