omega,spectrum
-5.0,0.0014382967970975556
-4.9875,0.0014562662173952556
-4.975,0.0014741334042107908
-4.9625,0.001494112059978752
-4.95,0.0015154594539291332
-4.9375,0.0015369031869135507
-4.925,0.0015591223577806318
-4.9125,0.0015810127643933964
-4.9,0.0016024930440715426
-4.8875,0.0016266745196213172
-4.875,0.0016538863936423234
-4.8625,0.0016822055760326567
-4.85,0.0017116914803269568
-4.8375,0.00174156948232814
-4.825,0.0017723608924561495
-4.8125,0.00180873014874383
-4.8,0.001852448081423699
-4.7875,0.0019012815467877994
-4.775,0.001957136547601471
-4.7625,0.00202500662212132
-4.75,0.002106512314970296
-4.7375,0.0022072240522884646
-4.725,0.0023403500428701863
-4.7125,0.0025145337575268175
-4.7,0.002724958948270173
-4.6875,0.0029312797574049454
-4.675,0.00303691776220609
-4.6625,0.002995199785698375
-4.65,0.0028937825452754287
-4.6375,0.002824426412196845
-4.625,0.0028099053011656438
-4.6125,0.002851866717501484
-4.6,0.0029644183921827896
-4.5875,0.003155341161139217
-4.575,0.003389455016408432
-4.5625,0.0035629848541699405
-4.55,0.003580280478184248
-4.5375,0.0034863082228292304
-4.525,0.0034035547704109933
-4.5125,0.0033996902227266656
-4.5,0.0034938014530094793
-4.4875,0.0036838564993158696
-4.475,0.003909615932676382
-4.4625,0.004030843449806903
-4.45,0.00397293369763953
-4.4375,0.003845269128136352
-4.425,0.003774984241171026
-4.4125,0.0037974668433660365
-4.4,0.0039033071342265925
-4.3875,0.004089905477411947
-4.375,0.004322604763346296
-4.3625,0.004473552097010596
-4.35,0.004428235822253606
-4.3375,0.004258411877123131
-4.325,0.004115675183759971
-4.3125,0.004075418240399678
-4.3,0.004149332468943366
-4.2875,0.004332384250147563
-4.275,0.0046179905949921465
-4.2625,0.004955234636829002
-4.25,0.0051883382073154355
-4.2375,0.0051866986035613676
-4.225,0.005050483402794301
-4.2125,0.0049517235794404495
-4.2,0.0049519477705274
-4.1875,0.005057937999650502
-4.175,0.00529110236818213
-4.1625,0.005644108847460145
-4.15,0.005996844413330515
-4.1375,0.006140693360014891
-4.125,0.0060268202714543265
-4.1125,0.005845777505079485
-4.1,0.0057735017519370884
-4.0875,0.005867845171370496
-4.075,0.006136519612589374
-4.0625,0.006578061609128918
-4.05,0.007121220343558595
-4.0375,0.0075413564527271335
-4.025,0.0076465890954902985
-4.0125,0.007591667918292731
-4.0,0.007666832623529279
-3.9875,0.008001166792543628
-3.975,0.008525159752695159
-3.9625,0.008989916368645698
-3.95,0.009223111551415596
-3.9375,0.00940710024664448
-3.925,0.009752491523572276
-3.9125,0.010137467638655138
-3.9,0.010280783888175877
-3.8875,0.010244175114982339
-3.875,0.010353990379750528
-3.8625,0.010722968569028487
-3.85,0.011103364292441678
-3.8375,0.011180612979316119
-3.825,0.011072486413695338
-3.8125,0.011125865426238455
-3.8,0.011431481109343755
-3.7875,0.011788341402910234
-3.775,0.012048038243241098
-3.7625,0.012295082804262268
-3.75,0.012497446304660077
-3.7375,0.012520128800477957
-3.725,0.012524853237078271
-3.7125,0.012818767155933334
-3.7,0.013484510654487171
-3.6875,0.014246872690151544
-3.675,0.014602044674160576
-3.6625,0.014443515017534445
-3.65,0.014238949658036331
-3.6375,0.014413675523164736
-3.625,0.01511511957345369
-3.6125,0.01626736760990224
-3.6,0.017469686335715166
-3.5875,0.01809051694606511
-3.575,0.018022121785450897
-3.5625,0.017872758062785387
-3.55,0.01818998952639252
-3.5375,0.01915462079270528
-3.525,0.020688124836846386
-3.5125,0.022494819598491284
-3.5,0.02405985018143702
-3.4875,0.024947592374786446
-3.475,0.02549360606382841
-3.4625,0.02649502755697584
-3.45,0.02832591151939117
-3.4375,0.030595974488764777
-3.425,0.03256975302064856
-3.4125,0.03425870313919352
-3.4,0.03626645485852378
-3.3875,0.038573882061771245
-3.375,0.040512506647671746
-3.3625,0.0422217374729876
-3.35,0.044512702783262595
-3.3375,0.04735640266868127
-3.325,0.049759911810921334
-3.3125,0.051191636682505724
-3.3,0.05278115059205157
-3.2875,0.055494316678077436
-3.275,0.05875085592285085
-3.2625,0.061152588829044965
-3.25,0.06255763276291874
-3.2375,0.06465484753173929
-3.225,0.06835059951887298
-3.2125,0.07272769695141465
-3.2,0.07615199447814217
-3.1875,0.07875033362509536
-3.175,0.08265676104710765
-3.1625,0.08883506347224739
-3.15,0.09608145667656083
-3.1375,0.10237801948445602
-3.125,0.10806890440448103
-3.1125,0.11600571671800891
-3.1,0.12717231652717845
-3.0875,0.1394265626802494
-3.075,0.15001132438852113
-3.0625,0.16039433626600808
-3.05,0.17485557155373024
-3.0375,0.19353754239195378
-3.025,0.21195886761404292
-3.0125,0.2271700916468025
-3.0,0.2440359732064436
-2.9875,0.2678741536755179
-2.975,0.2950891175074011
-2.9625,0.3178136475776409
-2.95,0.33654489689443556
-2.9375,0.3615695475628975
-2.925,0.39526535691789605
-2.9125,0.4272185759215953
-2.9,0.45058309733620644
-2.8875,0.4757603562145733
-2.875,0.5145365583574673
-2.8625,0.5588551855572026
-2.85,0.592997717278752
-2.8375,0.6201585893290963
-2.825,0.6595000791011629
-2.8125,0.7109690793400948
-2.8,0.7526745759636196
-2.7875,0.7790732256269535
-2.775,0.8133637605918227
-2.7625,0.8677669628507774
-2.75,0.9185878757979553
